episode,reward
1,-0.1885
10939,-0.1596
21853,-0.1028
34525,-0.1855
44929,-0.1691
55554,-0.1845
66369,-0.1629
77567,-0.1762
88654,-0.1714
99751,-0.1717
110836,-0.1832
121789,-0.1846
132918,-0.1703
144269,-0.1605
155642,-0.1571
167032,-0.1851
178215,-0.1707
189451,-0.0695
203195,-0.0985
216919,-0.0946
230734,-0.0839
244415,-0.0787
258071,-0.0696
271956,-0.0739
286489,-0.0561
300953,-0.086
315338,-0.081
329983,-0.0614
344418,-0.0629
358858,-0.0743
373288,-0.0771
387683,-0.0665
402183,-0.055
415918,-0.0743
430292,-0.0823
444618,-0.0855
458952,-0.0707
473316,-0.0681
487333,-0.089
501165,-0.0626
515489,-0.0846
529850,-0.0712
544285,-0.0744
558771,-0.0666
573201,-0.0709
587771,-0.0627
602261,-0.0763
616722,-0.0739
631209,-0.0769
645745,-0.0644
660262,-0.0686
674693,-0.0588
689297,-0.0814
703857,-0.0601
718195,-0.0764
732682,-0.0603
747650,-0.0682
762124,-0.0787
777128,-0.0695
791985,-0.0591
806620,-0.0612
821544,-0.0613
836638,-0.0529
851491,-0.0481
865965,-0.0745
880856,-0.0696
895718,-0.0648
910876,-0.0622
926012,-0.0774
940908,-0.072
955839,-0.0808
970916,-0.0693
986108,-0.0656
1000772,-0.0674
1015714,-0.0578
1030842,-0.0615
1045923,-0.0732
1060885,-0.0693
1076069,-0.0531
1091186,-0.0697
1105747,-0.0865
1120725,-0.068
1135825,-0.0756
1150971,-0.0584
1165623,-0.0817
1180570,-0.0727
1195667,-0.0753
1210787,-0.0649
1225997,-0.0621
1240838,-0.0656
1255943,-0.0585
1270916,-0.0721
1286130,-0.0708
1301212,-0.0831
1316503,-0.0548
1331723,-0.0812
1346928,-0.0906
1361521,-0.0733
1376753,-0.0556
1391979,-0.071
